UTC,Latitude,Longitude,Altitude
2025/5/28 - 5:54:57,49.42850015289645,1.0766398422954857,13.800268516875803
2025/5/28 - 5:54:57,49.42851054594022,1.0766457162120728,13.40001605451107
2025/5/28 - 5:54:57,49.4285104185446,1.07664582473089,13.406473734416068
2025/5/28 - 5:54:57,49.4285101713336,1.0766459338895096,13.41854849923402
2025/5/28 - 5:54:57,49.428509804321365,1.0766460437139602,13.436245198361576
2025/5/28 - 5:54:57,49.42850931746443,1.0766461541693533,13.459562458097936
2025/5/28 - 5:54:57,49.42850871077714,1.0766462652182098,13.488501303829253
2025/5/28 - 5:54:57,49.42850798429272,1.0766463769058685,13.523055819794536
2025/5/28 - 5:54:57,49.428507137982216,1.076646489282664,13.563228590413928
2025/5/28 - 5:54:57,49.42850617182594,1.0766466023675354,13.609025900252163
2025/5/28 - 5:54:57,49.42852267616923,1.0766538333673945,13.155472592450678
2025/5/28 - 5:54:57,49.42852225685567,1.0766542660047278,13.18992780521512
2025/5/28 - 5:54:57,49.42852171772603,1.0766546992129975,13.230004736222329
2025/5/28 - 5:54:57,49.42852105873703,1.0766551330130043,13.275707617402077
2025/5/28 - 5:54:57,49.42852027984961,1.0766555674861484,13.32703452836722
2025/5/28 - 5:54:57,49.42851938109303,1.0766560026052123,13.383981025777755
2025/5/28 - 5:54:57,49.42851836250611,1.076656438369291,13.44654825795442
2025/5/28 - 5:54:57,49.42851722405942,1.0766568748515133,13.514736141078174
2025/5/28 - 5:54:57,49.42851596579686,1.0766573119953315,13.588540295138955
2025/5/28 - 5:54:57,49.42853312790816,1.076663070866241,12.573962670750916
2025/5/28 - 5:54:57,49.42853276427455,1.0766638348436672,12.59207721799612
2025/5/28 - 5:54:57,49.42853228078209,1.076664599424005,12.615811184979975
2025/5/28 - 5:54:57,49.42853167747827,1.0766653646651578,12.64516161289066
2025/5/28 - 5:54:57,49.42853095439193,1.0766661305818048,12.680126955732703
2025/5/28 - 5:54:57,49.428530111522655,1.0766668972158426,12.720710111781957
2025/5/28 - 5:54:57,49.42852914885594,1.0766676645506903,12.76691554673016
2025/5/28 - 5:54:57,49.42852806638743,1.076668432576608,12.818743988871574
2025/5/28 - 5:54:57,49.42852686411688,1.0766692012714827,12.876195437274871
2025/5/28 - 5:54:57,49.428525541986616,1.076669970601515,12.939272952266036
2025/5/28 - 5:54:57,49.42854589162992,1.076670187878027,12.306907615624368
2025/5/28 - 5:54:57,49.428545682109096,1.076670924155514,12.337728611193596
2025/5/28 - 5:54:57,49.42854535278645,1.0766716611510634,12.37416801508516
2025/5/28 - 5:54:57,49.4285449036524,1.076672398822893,12.41622206196189
2025/5/28 - 5:54:57,49.428544334692525,1.0766731371554257,12.46389335859567
2025/5/28 - 5:54:57,49.42854364591614,1.07667387618479,12.517182001844049
2025/5/28 - 5:54:57,49.428542837308726,1.0766746159098768,12.576090641319752
2025/5/28 - 5:54:57,49.428541908885286,1.0766753563090183,12.640619297511876
2025/5/28 - 5:54:57,49.428540860674914,1.0766760973519856,12.710769090801476
2025/5/28 - 5:54:57,49.428576798823535,1.076673164545908,9.813149779103696
2025/5/28 - 5:54:57,49.4285779167044,1.0766736687009268,9.7017732411623
2025/5/28 - 5:54:57,49.428578914788375,1.0766741735153746,9.596015151590109
2025/5/28 - 5:54:57,49.42857979304664,1.076674678980541,9.495874305255713
2025/5/28 - 5:54:57,49.42858055143147,1.0766751850829293,9.401351919397712
2025/5/28 - 5:54:57,49.42858118997186,1.0766756917672335,9.31244630087167
2025/5/28 - 5:54:57,49.4285817086962,1.0766761991055007,9.229156984947622
2025/5/28 - 5:54:57,49.42858210754659,1.0766767071653434,9.151482614688575
2025/5/28 - 5:54:57,49.42858238650908,1.0766772159243796,9.079425722360613
2025/5/28 - 5:54:57,49.428582545612144,1.0766777254237134,9.012989475391803
2025/5/28 - 5:54:57,49.42859312494564,1.0766799358097632,9.229528594762089
2025/5/28 - 5:54:57,49.428593703215526,1.0766805529771848,9.191678298637273
2025/5/28 - 5:54:57,49.428594161596855,1.076681170846074,9.159453904256225
2025/5/28 - 5:54:57,49.428594500036574,1.0766817893733285,9.13285586796701
2025/5/28 - 5:54:57,49.42859471859236,1.0766824085878028,9.111882030032575
2025/5/28 - 5:54:57,49.42859481727381,1.0766830285322848,9.09653430338949
2025/5/28 - 5:54:57,49.428594796081406,1.0766836491658822,9.0868079373613
2025/5/28 - 5:54:57,49.428594655077454,1.076684270488233,9.082699958235024
2025/5/28 - 5:54:57,49.42859439423261,1.076684892541022,9.084214846603572
2025/5/28 - 5:54:57,49.42859401354231,1.0766855153384989,9.09135430213064
2025/5/28 - 5:54:57,49.42860536595746,1.0766858444480347,8.907427593134344
2025/5/28 - 5:54:57,49.42860548706531,1.0766864500168367,8.913743713870645
2025/5/28 - 5:54:57,49.42860548837136,1.0766870562384274,8.925918661989272
2025/5/28 - 5:54:57,49.42860536985101,1.076687663162622,8.94371376838535
2025/5/28 - 5:54:57,49.4286051314627,1.0766882707803669,8.967129917815328
2025/5/28 - 5:54:57,49.428604773224855,1.0766888791288634,8.996176820248365
2025/5/28 - 5:54:57,49.42860429516682,1.0766894881733269,9.030845396220684
2025/5/28 - 5:54:57,49.42860369698389,1.0766900978966707,9.071165295317767
2025/5/28 - 5:54:57,49.42860297857821,1.0766907085177948,9.117134138010442
2025/5/28 - 5:54:57,49.42861794182438,1.0766918113070072,8.394580314867198
2025/5/28 - 5:54:57,49.428618008390565,1.0766924518971748,8.401340621523559
2025/5/28 - 5:54:57,49.42861795524578,1.0766930935824437,8.41348969656974
