TimeStamp,Longitude,Latitude,Altitude
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
2000/1/1 - 0:0:0,0.0,nan,0.0
