UTC,Latitude,Longitude
2025/03/18 - 17:09:28,49.38531993,1.06832576
2025/03/18 - 17:09:29,49.38531963,1.06832475
2025/03/18 - 17:09:30,49.38531936,1.06832443
2025/03/18 - 17:09:31,49.38531921,1.06832433
2025/03/18 - 17:09:32,49.38531918,1.06832429
2025/03/18 - 17:09:33,49.38531923,1.06832446
2025/03/18 - 17:09:34,49.38531923,1.06832434
2025/03/18 - 17:09:35,49.38531918,1.06832435
2025/03/18 - 17:09:36,49.38531919,1.06832433
2025/03/18 - 17:09:37,49.38531932,1.06832442
2025/03/18 - 17:09:38,49.38531933,1.06832449
2025/03/18 - 17:09:39,49.38531940,1.06832444
2025/03/18 - 17:09:40,49.38531932,1.06832454
2025/03/18 - 17:09:41,49.38531950,1.06832444
2025/03/18 - 17:09:42,49.38531926,1.06832471
2025/03/18 - 17:09:43,49.38531925,1.06832477
2025/03/18 - 17:09:44,49.38531937,1.06832481
2025/03/18 - 17:09:45,49.38531941,1.06832483
2025/03/18 - 17:09:46,49.38531976,1.06832455
2025/03/18 - 17:09:47,49.38531984,1.06832462
2025/03/18 - 17:09:48,49.38532017,1.06832433
2025/03/18 - 17:09:49,49.38532024,1.06832420
2025/03/18 - 17:09:50,49.38532023,1.06832425
2025/03/18 - 17:09:51,49.38532021,1.06832432
2025/03/18 - 17:09:52,49.38532024,1.06832432
2025/03/18 - 17:09:53,49.38532022,1.06832434
2025/03/18 - 17:09:54,49.38532008,1.06832446
2025/03/18 - 17:09:55,49.38532007,1.06832455
2025/03/18 - 17:09:56,49.38532012,1.06832445
2025/03/18 - 17:09:57,49.38532012,1.06832457
2025/03/18 - 17:09:58,49.38532005,1.06832461
2025/03/18 - 17:09:59,49.38532007,1.06832470
2025/03/18 - 17:10:00,49.38532006,1.06832481
2025/03/18 - 17:10:01,49.38532007,1.06832485
2025/03/18 - 17:10:02,49.38532015,1.06832478
2025/03/18 - 17:10:03,49.38532010,1.06832476
2025/03/18 - 17:10:04,49.38532008,1.06832468
2025/03/18 - 17:10:05,49.38532008,1.06832459
2025/03/18 - 17:10:06,49.38532013,1.06832448
2025/03/18 - 17:10:07,49.38532014,1.06832451
2025/03/18 - 17:10:08,49.38532002,1.06832445
2025/03/18 - 17:10:09,49.38532006,1.06832446
2025/03/18 - 17:10:10,49.38532011,1.06832446
2025/03/18 - 17:10:11,49.38531998,1.06832455
2025/03/18 - 17:10:12,49.38532001,1.06832470
2025/03/18 - 17:10:13,49.38531990,1.06832479
2025/03/18 - 17:10:14,49.38531989,1.06832479
2025/03/18 - 17:10:15,49.38532008,1.06832471
2025/03/18 - 17:10:16,49.38532055,1.06832508
2025/03/18 - 17:10:17,49.38532054,1.06832515
2025/03/18 - 17:10:18,49.38532044,1.06832541
2025/03/18 - 17:10:19,49.38532043,1.06832543
2025/03/18 - 17:10:20,49.38532037,1.06832550
2025/03/18 - 17:10:21,49.38532043,1.06832554
2025/03/18 - 17:10:22,49.38532049,1.06832565
2025/03/18 - 17:10:23,49.38532045,1.06832567
2025/03/18 - 17:10:24,49.38532059,1.06832576
2025/03/18 - 17:10:25,49.38532049,1.06832574
2025/03/18 - 17:10:26,49.38532052,1.06832568
2025/03/18 - 17:10:27,49.38532051,1.06832575
2025/03/18 - 17:10:28,49.38532059,1.06832593
2025/03/18 - 17:10:29,49.38532059,1.06832607
2025/03/18 - 17:10:30,49.38532056,1.06832599
2025/03/18 - 17:10:31,49.38532082,1.06832598
2025/03/18 - 17:10:32,49.38532086,1.06832588
2025/03/18 - 17:10:33,49.38532091,1.06832594
2025/03/18 - 17:10:34,49.38532083,1.06832623
2025/03/18 - 17:10:35,49.38532080,1.06832637
2025/03/18 - 17:10:36,49.38532090,1.06832659
2025/03/18 - 17:10:37,49.38532086,1.06832670
2025/03/18 - 17:10:38,49.38532075,1.06832673
2025/03/18 - 17:10:39,49.38532068,1.06832697
2025/03/18 - 17:10:40,49.38532060,1.06832714
2025/03/18 - 17:10:41,49.38532061,1.06832723
2025/03/18 - 17:10:42,49.38532067,1.06832716
2025/03/18 - 17:10:43,49.38532062,1.06832738
2025/03/18 - 17:10:44,49.38532084,1.06832746
2025/03/18 - 17:10:45,49.38532083,1.06832748
2025/03/18 - 17:10:46,49.38532089,1.06832755
2025/03/18 - 17:10:47,49.38532090,1.06832777
2025/03/18 - 17:10:48,49.38532083,1.06832787
2025/03/18 - 17:10:49,49.38532089,1.06832792
2025/03/18 - 17:10:50,49.38532089,1.06832796
2025/03/18 - 17:10:51,49.38532080,1.06832789
2025/03/18 - 17:10:52,49.38532083,1.06832797
2025/03/18 - 17:10:53,49.38532078,1.06832802
2025/03/18 - 17:10:54,49.38532069,1.06832810
2025/03/18 - 17:10:55,49.38532064,1.06832797
2025/03/18 - 17:10:56,49.38532067,1.06832802
2025/03/18 - 17:10:57,49.38532064,1.06832811
2025/03/18 - 17:10:58,49.38532073,1.06832808
2025/03/18 - 17:10:59,49.38532057,1.06832857
2025/03/18 - 17:11:00,49.38532046,1.06832902
2025/03/18 - 17:11:01,49.38532029,1.06832867
2025/03/18 - 17:11:02,49.38532005,1.06832855
2025/03/18 - 17:11:03,49.38531971,1.06832849
2025/03/18 - 17:11:04,49.38532081,1.06832624
2025/03/18 - 17:11:05,49.38532453,1.06833364
